# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//home/jeffae/apprentice-cov/examples/dummy_data/mytune/envelope_dn.yoda/func0 //home/jeffae/apprentice-cov/examples/dummy_data/mytune/envelope_up.yoda/func0
LegendOnly=//home/jeffae/apprentice-cov/examples/dummy_data/mytune/envelope_dn.yoda/func0 //home/jeffae/apprentice-cov/examples/dummy_data/mytune/envelope_up.yoda/func0
RatioPlot=1
RatioPlotReference=//home/jeffae/apprentice-cov/examples/dummy_data/mytune/envelope_dn.yoda/func0
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //home/jeffae/apprentice-cov/examples/dummy_data/mytune/envelope_dn.yoda/func0
LineColor=red
LineStyle=solid
Path=//home/jeffae/apprentice-cov/examples/dummy_data/mytune/envelope_dn.yoda/func0
Title=envelope_dn
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	7.500000e-02	0.000000e+00	0.000000e+00	0.000000e+00
7.500000e-02	1.500000e-01	5.285765e+00	0.000000e+00	0.000000e+00
1.500000e-01	2.250000e-01	3.528315e+00	0.000000e+00	0.000000e+00
2.250000e-01	3.000000e-01	2.860907e+00	0.000000e+00	0.000000e+00
3.000000e-01	3.750000e-01	2.444587e+00	0.000000e+00	0.000000e+00
3.750000e-01	4.500000e-01	2.226105e+00	0.000000e+00	0.000000e+00
4.500000e-01	5.250000e-01	2.214063e+00	0.000000e+00	0.000000e+00
5.250000e-01	6.000000e-01	2.157292e+00	0.000000e+00	0.000000e+00
6.000000e-01	6.750000e-01	2.012784e+00	0.000000e+00	0.000000e+00
6.750000e-01	7.500000e-01	2.184817e+00	0.000000e+00	0.000000e+00
7.500000e-01	8.250000e-01	2.284596e+00	0.000000e+00	0.000000e+00
8.250000e-01	9.000000e-01	2.697475e+00	0.000000e+00	0.000000e+00
9.000000e-01	9.750000e-01	3.865577e+00	0.000000e+00	0.000000e+00
9.750000e-01	1.050000e+00	3.695265e+00	0.000000e+00	0.000000e+00
1.050000e+00	1.125000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.125000e+00	1.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+00	1.275000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.275000e+00	1.350000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.350000e+00	1.425000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.425000e+00	1.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //home/jeffae/apprentice-cov/examples/dummy_data/mytune/envelope_up.yoda/func0
LineColor=blue
LineStyle=solid
Path=//home/jeffae/apprentice-cov/examples/dummy_data/mytune/envelope_up.yoda/func0
Title=envelope_up
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	7.500000e-02	1.605317e+02	0.000000e+00	0.000000e+00
7.500000e-02	1.500000e-01	1.944344e+01	0.000000e+00	0.000000e+00
1.500000e-01	2.250000e-01	1.689188e+01	0.000000e+00	0.000000e+00
2.250000e-01	3.000000e-01	1.332191e+01	0.000000e+00	0.000000e+00
3.000000e-01	3.750000e-01	1.197881e+01	0.000000e+00	0.000000e+00
3.750000e-01	4.500000e-01	1.219733e+01	0.000000e+00	0.000000e+00
4.500000e-01	5.250000e-01	1.172620e+01	0.000000e+00	0.000000e+00
5.250000e-01	6.000000e-01	1.139941e+01	0.000000e+00	0.000000e+00
6.000000e-01	6.750000e-01	1.138939e+01	0.000000e+00	0.000000e+00
6.750000e-01	7.500000e-01	1.130118e+01	0.000000e+00	0.000000e+00
7.500000e-01	8.250000e-01	1.252211e+01	0.000000e+00	0.000000e+00
8.250000e-01	9.000000e-01	1.420216e+01	0.000000e+00	0.000000e+00
9.000000e-01	9.750000e-01	2.108471e+01	0.000000e+00	0.000000e+00
9.750000e-01	1.050000e+00	2.033691e+01	0.000000e+00	0.000000e+00
1.050000e+00	1.125000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.125000e+00	1.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+00	1.275000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.275000e+00	1.350000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.350000e+00	1.425000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.425000e+00	1.500000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

