a,b,ONBOUND,chi2
1.4729410807811176,-0.9967190335423255,False,20.381
1.4839476942935699,-0.9901759029480875,False,19.108
1.4794878142420893,-0.9952155889046956,False,15.666
1.488461430299766,-0.9892489058169971,False,17.991
1.4919473013044589,-1.000578843098849,False,22.802
1.493241476164731,-0.9902101116075209,False,19.366
1.4941700896390733,-0.9916561571870143,False,15.064
1.4840878859820168,-0.9931781421903217,False,17.276
1.4814296160830576,-0.990788981981615,False,19.975
1.4927207055153218,-0.9873095763260488,False,19.189
1.475142486611441,-1.0008587142216494,False,19.443
1.4861255531993223,-0.9929535241188433,False,18.634
1.4985508564793804,-0.9968738280775424,False,20.116
1.4941314629208589,-0.9885409741652467,False,19.030
1.4857622228426917,-0.9892885601881304,False,18.005
1.4860573578493372,-0.9938688032046135,False,16.904
1.4934559534463692,-0.991159996364314,False,17.059
1.4924578650991325,-0.9911931532663028,False,15.832
1.491119802019953,-0.9883178919742689,False,14.483
1.4890782256968786,-0.9878363250889464,False,18.175
1.4991274550918647,-0.9852478882889528,False,25.500
1.4766946654830022,-0.9921601559417597,False,16.917
1.4781053642069741,-0.9981417328161017,False,25.953
1.4874468428289138,-0.9874536233086262,False,21.611
1.4778257955309029,-0.9904351132087231,False,18.543
1.4807439369543596,-0.9919391379035731,False,16.679
1.4825252416737122,-0.9925328947399263,False,19.623
1.4812991052315407,-0.9937108766077952,False,24.124
1.48835660953824,-0.9886120854416333,False,18.748
1.4944475198833416,-0.9944283616210157,False,18.480
1.4847219432713685,-0.9873285405935852,False,21.080
1.4995458436212505,-0.9820369579261721,False,26.255
1.488460761105805,-0.9900544053581757,False,14.315
1.4808229915676734,-0.9942578686696514,False,18.843
1.4849360567671432,-0.992430720758808,False,15.582
1.4820172036465713,-0.987320808435425,False,15.811
1.4867285787838378,-0.9858390846101054,False,16.047
1.4720046669188027,-0.9933512303818063,False,14.790
1.4936261749054518,-0.992800446913685,False,23.806
1.474171116206513,-0.9878906031481658,False,20.981
1.4954083754574,-0.9885026171595244,False,17.174
1.4903429211738077,-0.994660661401948,False,21.213
1.492629321039415,-0.9923818666273079,False,13.941
1.487902075409399,-0.9961941224950208,False,14.268
1.4908005342665431,-0.996080683481056,False,19.917
1.5040637315807477,-0.9899165162842667,False,16.350
1.4964042699754323,-0.9901073105139725,False,16.691
1.4842390089381161,-0.9887448511821461,False,18.855
1.4872782829338933,-0.9873917891558004,False,15.389
1.4881444635549257,-0.9906474748426569,False,17.951
1.4871326976475536,-0.9936111252426976,False,17.113
1.4952050717633114,-0.9871831654504386,False,15.441
1.4753097303958564,-0.9836857675780663,False,28.028
1.4913145178130356,-0.9954438291317498,False,18.205
1.4808838539992746,-0.9891118885473289,False,18.963
1.496041203315867,-0.9903509777000177,False,23.386
1.4929266474499292,-0.9932571592871483,False,17.822
1.466139018224888,-0.9867101178438485,False,24.544
1.4876158082936959,-0.9878588748249774,False,15.444
1.4877958301295546,-0.9843776707687493,False,20.575
1.4962722413758458,-0.9859559484537245,False,19.095
1.4774749938422849,-0.9928072273003954,False,16.641
1.4820806192091796,-0.9947037472006632,False,14.878
1.4854647162728247,-0.9870130366587816,False,20.578
1.4912185084784775,-0.997432012366423,False,21.328
1.4857444031989928,-0.9875489492473887,False,19.364
1.4822339303318914,-0.9935006885460862,False,16.746
1.4870813179982536,-0.9856953037476722,False,20.565
1.4805382900970843,-0.9880122802124294,False,16.460
1.4736632297061085,-0.995373048264866,False,17.912
1.505547235924431,-0.9895528761046651,False,21.622
1.4980987535334558,-0.992416634642671,False,28.599
1.4808617490228562,-0.9913150502801931,False,20.394
1.4867266711501086,-0.991295274258389,False,17.442
1.4996731780938384,-0.9868755398221439,False,18.647
1.4865948911713696,-0.9967373077998597,False,24.828
1.473039762203989,-0.9960142396622511,False,17.439
1.4920161120290734,-0.995202023358614,False,18.257
1.4789456463340143,-0.9966464438397264,False,20.887
1.4992225257838416,-0.9937598675242104,False,21.197
1.483481473757151,-0.9839833953374194,False,22.960
1.496583888259708,-0.9914097421710742,False,15.697
1.495734749137403,-0.9863760227520029,False,19.166
1.4824440486103299,-0.9910479088453035,False,21.522
1.4877880715735208,-0.9882066109860708,False,28.832
1.4871414439284447,-0.9889449678964168,False,18.085
1.490956771366859,-0.9884930740459983,False,18.024
1.465545272814289,-0.9920987458043412,False,18.130
1.4843912049431538,-0.9898088573973742,False,22.880
1.4971090925262627,-0.9852681042206026,False,18.713
1.4855643906238285,-0.9911165153512478,False,15.764
1.4876370422814036,-0.993202767179432,False,17.261
1.488738830870358,-0.991634553713812,False,19.271
1.493419006711783,-0.9908491289284833,False,17.673
1.4975404491980795,-0.9929618351258442,False,19.261
1.4728239195405741,-0.9910600904050202,False,19.217
1.4960024228908853,-0.9905488984408369,False,16.567
1.5002602439399997,-0.9933307467961273,False,18.247
1.4815911758821998,-0.9911154006551518,False,20.953
1.4784431738163724,-0.9910302415632128,False,21.745
